Phenotype,Category,n CpGs,Author,Year,Title,DOI,Based on,Reference,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
TNF ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNF ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNFB ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNFB ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNFB ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNFRSF9 ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNFRSF9 ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNFRSF9 ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNFSF14 ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNFSF14 ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TNFSF14 ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TRAIL ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TRAIL ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TRAIL ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TRANCE ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TRANCE ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TRANCE ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TSLP ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TSLP ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TSLP ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TWEAK ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TWEAK ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
TWEAK ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
uPA ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
uPA ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
uPA ,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,,Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
VEGFA,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,[Gadd (2023)](https://elifesciences.org/articles/71802),Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
VEGFA,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,[Gadd (2023)](https://elifesciences.org/articles/71802),Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
VEGFA,Biological markers,,Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1186/s13148-024-01802-y,Raw individual-level data,[Gadd (2023)](https://elifesciences.org/articles/71802),Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
PURA-related neurodevelopmental disorder,Genetic syndromes,480.0,Xiao et al.,2024.0,Genome-wide epigenetic signatures facilitated the variant classification of the PURA gene and uncovered the pathomechanism of PURA-related neurodevelopmental disorders,10.1016/j.gim.2024.101167,Raw individual-level data,,Case control,39.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Xiao, B.', 'Dai, W.', 'Zhan, Y.', 'Qiu, W.', 'Zhang, H.', 'Liu, D.', 'Xu, N.', 'Yu, Y.']",2024-05-17
Maternal smoking,Lifestyle and environment,26.0,Xu et al.,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,10.1158/1055-9965.Epi-21-0009,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Cohort study,482.0,Birth,Dried bloodspot,EPICv1,Mixed,"['Xu, K.', 'Li, S.', 'Whitehead, T. P.', 'Pandey, P.', 'Kang, A. Y.', 'Morimoto, L. M.', 'Kogan, S. C.', 'Metayer, C.', 'Wiemels, J. L.', 'de Smith, A. J.']",2021-08-07
Maternal smoking,Lifestyle and environment,26.0,Xu et al.,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,10.1158/1055-9965.Epi-21-0009,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Cohort study,482.0,Birth,Dried bloodspot,EPICv1,Mixed,"['Xu, K.', 'Li, S.', 'Whitehead, T. P.', 'Pandey, P.', 'Kang, A. Y.', 'Morimoto, L. M.', 'Kogan, S. C.', 'Metayer, C.', 'Wiemels, J. L.', 'de Smith, A. J.']",2021-08-07
Maternal smoking,Lifestyle and environment,28.0,Xu et al.,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,10.1158/1055-9965.Epi-21-0009,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Cohort study,482.0,Birth,Dried bloodspot,450K,Mixed,"['Xu, K.', 'Li, S.', 'Whitehead, T. P.', 'Pandey, P.', 'Kang, A. Y.', 'Morimoto, L. M.', 'Kogan, S. C.', 'Metayer, C.', 'Wiemels, J. L.', 'de Smith, A. J.']",2021-08-07
Maternal smoking,Lifestyle and environment,28.0,Xu et al.,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,10.1158/1055-9965.Epi-21-0009,Pre-established MPS,[Reese (2017)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/),Cohort study,482.0,Birth,Dried bloodspot,450K,Mixed,"['Xu, K.', 'Li, S.', 'Whitehead, T. P.', 'Pandey, P.', 'Kang, A. Y.', 'Morimoto, L. M.', 'Kogan, S. C.', 'Metayer, C.', 'Wiemels, J. L.', 'de Smith, A. J.']",2021-08-07
Maternal smoking,Lifestyle and environment,551.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,551.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,551.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,551.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,62.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,62.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,62.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,62.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,5643.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,5643.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,5643.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,5643.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,405.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,405.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,405.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Maternal smoking,Lifestyle and environment,405.0,Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Published summary statistics (semi-supervised),[Joubert (2017)](https://pubmed.ncbi.nlm.nih.gov/27040690/),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Cognitive functioning,Neuro-psychiatric health indicators,764525.0,deSteiguer et al.,2025.0,Stability of Aging- and Cognition-Related Methylation Profile Scores Across Two Waves in Children and Adolescents,10.1111/cdev.14239,Pre-established MPS,[McCartney (2021)](https://doi.org/10.1186/s13059-021-02596-5),Twin study,407.0,Late childhood,Saliva,EPICv1,Mixed,"['deSteiguer, A. J.', 'Raffington, L.', 'Sabhlok, A.', 'Tanksley, P.', 'Tucker-Drob, E. M.', 'Harden, K. P.']",2025-04-02
Glucocorticoid ,Lifestyle and environment,24.0,Appleton,2025.0,A polyepigenetic glucocorticoid exposure score and HPA axis-related DNA methylation are associated with gestational epigenetic aging,10.1080/15592294.2025.2471129,Pre-established MPS,[Provencal (2020)](https://pubmed.ncbi.nlm.nih.gov/31399550/),Cohort study,200.0,Birth,Cord blood,EPICv1,Mixed,"Appleton, A. A.",2025-12-07
Cervical neoplasma,Cancer,2.0,El-Zein et al.,2020.0,Genome-wide DNA methylation profiling identifies two novel genes in cervical neoplasia,10.1002/ijc.32880,Raw individual-level data,,Case control,186.0,Birth,Cervical cells,EPICv1,European,"['El-Zein, M.', 'Cheishvili, D.', 'Gotlieb, W.', 'Gilbert, L.', 'Hemmings, R.', 'Behr, M. A.', 'Szyf, M.', 'Franco, E. L.']",2020-02-12
Glucocorticoid ,Lifestyle and environment,24.0,Creasey et al.,2025.0,"Prenatal stress, epigenetically-assessed glucocorticoid exposure at birth, and child psychiatric symptoms: A prospective, multi-cohort study",10.1016/j.psyneuen.2025.107388,Pre-established MPS,[Provencal (2020)](https://pubmed.ncbi.nlm.nih.gov/31399550/),Population-based,6086.0,Birth,Cord blood,"Multiple (450K, EPICv1)",European,"['Creasey, N.', 'Schuurmans, I.', 'Tsotsi, S.', 'Defina, S.', 'Baltramonaityte, V.', 'Felix, J. F.', 'Neumann, A.', 'Page, C. M.', 'Tollenaar, M.', 'Bekkhus, M.', 'Walton, E.', 'Cecil, C.']",2025-05-07
Externalizing behavior,Neuro-psychiatric health indicators,,Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,Raw individual-level data,,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Externalizing behavior,Neuro-psychiatric health indicators,,Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,Raw individual-level data,,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Externalizing behavior,Neuro-psychiatric health indicators,,Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,Raw individual-level data,,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Internalizing behavior,Neuro-psychiatric health indicators,,Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,Raw individual-level data,,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Internalizing behavior,Neuro-psychiatric health indicators,,Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,Raw individual-level data,,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Internalizing behavior,Neuro-psychiatric health indicators,,Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,Raw individual-level data,,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Total problem behavior,Neuro-psychiatric health indicators,,Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,Raw individual-level data,,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Total problem behavior,Neuro-psychiatric health indicators,,Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,Raw individual-level data,,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Total problem behavior,Neuro-psychiatric health indicators,,Kallak et al.,2022.0,Maternal prenatal depressive symptoms and toddler behavior: an umbilical cord blood epigenome-wide association study,10.1038/s41398-022-01954-6,Raw individual-level data,,Case control,256.0,Birth,Cord blood,EPICv1,European,"['Kallak, T. K.', 'Fransson, E.', 'Brann, E.', 'Berglund, H.', 'Lager, S.', 'Comasco, E.', 'Lyle, R.', 'Skalkidou, A.']",2022-05-05
Life history of agression,Neuro-psychiatric health indicators,72.0,Pishva et al.,2023.0,Genome-wide DNA methylation analysis of aggressive behaviour: a longitudinal population-based study,10.1111/jcpp.13782,Raw individual-level data,,Case control,95.0,Adolescence,Whole blood,EPICv1,European,"['Pishva, E.', 'van den Hove, D. L. A.', 'Laroche, V.', 'Lvovs, A.', 'Roy, A.', 'Ortega, G.', 'Burrage, J.', 'Veidebaum, T.', 'Kanarik, M.', 'Mill, J.', 'Lesch, K. P.', 'Harro, J.']",2023-07-07
